N,id_TT,name_TT,address,latitude,longitude,region_tt
1594,11879,1594М_Лавочкина34,"Москва ул. Лавочкина, д. 34",55.856295,37.493919,Москва
1596,11881,1596М_Андропова21,"Москва проспект Андропова, д. 21, пом. 1",55.679138,37.665444,Москва
1598,11883,1598М_Свободы12,"Москва ул. Свободы, д. 12/8",55.830498,37.453567,Москва
1602,11887,1602М_Перовская33,"Москва ул. Перовская, д. 33 к. 1",55.747485,37.775856,Москва
1603,11888,1603М_Кастанаевская51,"Москва ул. Кастанаевская, д. 51, к. 2",55.731500,37.460385,Москва
1608,11893,1608Ш_БПереяславская11,"Москва ул. Большая Переяславская, д. 11",55.784425,37.640956,Москва
1612,11897,1612М_Судостроительная41,"Москва ул. Судостроительная, д. 41",55.684950,37.687515,Москва
1613,11898,1613М_2яВольская1,"Москва ул. 2-ая Вольская, д. 1 к. 1",55.687304,37.918589,Москва
1616,11901,1616М_Раменки3,"Москва ул. Раменки, д. 3, стр. 1",55.693186,37.496848,Москва
1617,11902,1617М_Коломенский10,"Москва Коломенский пр., д. 10А",55.665782,37.650307,Москва
1621,11906,1621М_Михалковская20,"Москва ул. Михалковская, д. 20",55.839173,37.530148,Москва
1622,11907,1622Ш_Денисовский22,"Москва Денисовский пер., д. 22",55.766511,37.675289,Москва
1626,11911,1626М_Ботаническая27,"Москва ул. Ботаническая, д. 27",55.833046,37.595123,Москва
1627,11912,1627М_ЛетчикаБабушкина11,"Москва ул. Летчика Бабушкина, д. 11/2, корп. 1",55.860928,37.673421,Москва
